objid,ra,dec,u,g,r,i,photometric_z,specObjID,redshift,redshift_error,class,spec_z,zmag,u_g,g_r,r_i,i_z,r_mag
1237667292117598424,143.748871464788,20.680417502114,18.1718,17.10731,16.79666,16.63087,16.60856,2580633842155022336,0.01217339,9.948694e-06,GALAXY,0.01217339,16.60856,1.0644900000000028,0.310649999999999,0.16578999999999766,0.02231000000000094,16.79666
1237664837001150668,129.012714369906,23.911853536702,17.98258,16.97625,16.63175,16.47842,16.31644,2172005562265397248,0.01217971,8.761536e-06,GALAXY,0.01217971,16.31644,1.0063299999999984,0.34450000000000003,0.1533300000000004,0.1619799999999998,16.63175
1237661066021765224,137.773211968381,9.34955889737527,17.70648,15.86315,15.04609,14.61606,14.3147,1464889012341729280,0.01221229,7.437041e-06,GALAXY,0.01221229,14.3147,1.84333,0.8170599999999997,0.43003000000000036,0.30135999999999896,15.04609
1237667211601969226,181.814888734502,30.079628031987,20.95895,20.97106,20.67902,21.21195,20.50191,2505302727391733760,0.0122617,7.786858e-06,GALAXY,0.0122617,20.50191,-0.012109999999999843,0.2920400000000001,-0.5329300000000003,0.7100400000000029,20.67902
1237673701278154783,35.4799607689721,-9.47663956171728,17.03452,16.33406,16.20446,16.24341,16.30003,752106396723472384,0.01231098,4.462631e-06,GALAXY,0.01231098,16.30003,0.7004599999999996,0.12959999999999994,-0.03894999999999982,-0.05661999999999878,16.20446
1237667735040950546,173.239554982442,21.8691498832512,19.10148,17.94028,17.53829,17.40224,17.28438,2819319132665702400,0.01232569,2.018935e-05,GALAXY,0.01232569,17.28438,1.1611999999999973,0.4019900000000014,0.1360500000000009,0.1178600000000003,17.53829
1237660635459485715,159.655157654994,44.5231050544411,15.40685,14.8005,14.51125,14.4574,14.28623,1611210370767153152,0.01237455,5.564183e-06,GALAXY,0.01237455,14.28623,0.6063500000000008,0.2892499999999991,0.05385000000000062,0.17117000000000004,14.51125
1237651753995796640,146.753051552978,2.07411222763427,19.12816,18.35267,16.90616,16.67218,16.62576,540566403950864384,0.01241416,1.589327e-05,GALAXY,0.01241416,16.62576,0.7754900000000013,1.44651,0.23397999999999897,0.04642000000000124,16.90616
1237662226214682669,183.984753394123,40.9256740809959,17.28077,16.38809,16.0706,15.91281,15.80309,2246320454782445568,0.01241752,5.256017e-06,GALAXY,0.01241752,15.80309,0.8926800000000021,0.3174899999999994,0.15778999999999854,0.10972000000000115,16.0706
1237666338115879005,18.0323144738671,-1.00068011032848,17.81199,16.74327,16.28347,16.08843,15.93867,447018027242776576,0.01243061,5.848166e-06,GALAXY,0.01243061,15.93867,1.0687200000000026,0.45979999999999777,0.19504000000000232,0.14975999999999878,16.28347
1237655129835241595,239.762266384022,51.3047168291394,17.00398,14.54915,13.60633,13.09598,12.67442,698182501780187136,0.01250561,9.724755e-06,GALAXY,0.01250561,12.67442,2.4548299999999994,0.9428199999999993,0.510349999999999,0.42156000000000127,13.60633
1237654600489763007,150.269859593248,3.33101976925159,18.89314,17.77452,17.39505,17.19151,17.14554,644027154622867456,0.01258694,8.497819e-06,GALAXY,0.01258694,17.14554,1.11862,0.37946999999999775,0.20354000000000028,0.04597000000000051,17.39505
1237649962456842438,53.9504388044003,-6.71760137940555,16.87949,15.88451,15.44922,15.26319,15.12392,520249626750642176,0.01259685,5.974252e-06,GALAXY,0.01259685,15.12392,0.99498,0.4352900000000002,0.18603000000000058,0.13926999999999978,15.44922
1237671262278123848,146.339120646768,14.5799322565369,18.64188,17.60916,17.21582,17.09491,16.95465,2907192101286471680,0.0126651,8.82014e-06,GALAXY,0.0126651,16.95465,1.0327200000000012,0.39333999999999847,0.12091000000000207,0.14025999999999783,17.21582
1237668624083845323,179.433645934947,17.2246327333455,18.72579,17.80503,17.51648,17.62047,17.71151,2828270801516521472,0.01266521,1.035149e-05,GALAXY,0.01266521,17.71151,0.9207600000000014,0.2885499999999972,-0.10398999999999958,-0.09103999999999957,17.51648
1237661387603837136,210.135156610099,55.2460895150156,18.58792,17.74302,17.6001,17.53378,17.48404,1490797631339784192,0.01271322,5.698656e-06,GALAXY,0.01271322,17.48404,0.8448999999999991,0.14292000000000016,0.06632000000000104,0.049739999999999895,17.6001
1237654391640031459,119.569193706561,39.8335715161959,16.68546,15.58803,15.13039,14.87968,14.734,612590741318821888,0.01274546,7.303977e-06,GALAXY,0.01274546,14.734,1.0974299999999992,0.4576399999999996,0.25070999999999977,0.14568000000000048,15.13039
1237655464304050309,177.579692469505,62.0525918598081,17.28087,16.03775,15.5847,15.34445,15.28541,874878692365461504,0.01279891,3.456569e-05,GALAXY,0.01279891,15.28541,1.2431200000000011,0.4530499999999993,0.24024999999999963,0.05903999999999954,15.5847
1237659131672133811,217.393677176809,49.6375430665509,17.20414,15.77824,15.48706,15.5574,15.3891,1177742471120054272,0.01280799,6.061434e-06,GALAXY,0.01280799,15.3891,1.4258999999999986,0.29118000000000066,-0.07033999999999985,0.16830000000000034,15.48706
1237667322714718321,171.204971829848,26.6060668014925,21.80858,21.41147,21.29881,21.22114,21.816,7216021801369096192,0.01281608,9.372439e-06,GALAXY,0.01281608,21.816,0.39710999999999785,0.11266000000000176,0.07767000000000124,-0.5948600000000006,21.29881
1237665180595912912,217.385044037179,29.1294050496291,18.94844,17.97376,17.71254,17.52908,17.39773,2401580301139601408,0.0128192,1.312302e-05,GALAXY,0.0128192,17.39773,0.9746800000000029,0.261219999999998,0.18346000000000018,0.1313500000000012,17.71254
1237667252940964129,182.152419470934,29.0766422328347,19.25389,18.06089,17.55359,17.35138,17.13843,2508565254762424320,0.01284425,5.419428e-05,GALAXY,0.01284425,17.13843,1.1929999999999978,0.5073000000000008,0.2022100000000009,0.2129499999999993,17.55359
1237664673250017469,187.535656828806,37.5558466850782,17.0558,15.93356,15.54883,15.37071,15.28471,2242827307196639232,0.01284772,6.98359e-06,GALAXY,0.01284772,15.28471,1.1222400000000015,0.38472999999999935,0.17811999999999983,0.0860000000000003,15.54883
1237664094508089383,125.687310292415,24.2969153904708,15.36589,13.96881,13.19374,12.83262,12.78894,1784558273987373056,0.01285296,1.747771e-05,GALAXY,0.01285296,12.78894,1.3970800000000008,0.7750699999999995,0.36111999999999966,0.04368000000000016,13.19374
